Normal pressure hydrocephalus
	Normal pressure hydrocephalus
	Encephalitis
	HSV encephalitis
	hsv encephalitis involcing the frontotemporal region
	Wernicke's encephalopathy
	vzv encephalitis
	NPH - Normal pressure hydrocephalus
	Hepatic encephalopathy
TTP - Thrombotic thrombocytopenic purpura
	Acquired thrombotic thrombocytopenic purpura
	TTP - Thrombotic thrombocytopenic purpura
	Acquired thrombotic thrombocytopenic purpura (TTP)
TTP
	TTP
Cerebral abscess embolic
	Septic cerebral embolus
	Cerebral abscess embolic
Subdural intracranial hematoma
	Subdural intracranial hematoma
	Intracranial hemorrhage
Seizure
	Seizure
Human immunodeficiency virus disease
	Human immunodeficiency virus disease
UTI
	UTI
Meningitis
	Meningitis
DIC - Disseminated intravascular coagulation
	DIC - Disseminated intravascular coagulation
SAH - Subarachnoid hemorrhage
	SAH - Subarachnoid hemorrhage
Urinary tract infection
	Urinary tract infection
Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
	Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
Cerebral infarction
	Cerebral infarction
Hereditary spherocytosis
	Hereditary spherocytosis
Dementia with Lewy bodies
	Dementia with Lewy bodies
Malaria
	Malaria
Anticholinergic drug overdose
	Anticholinergic drug overdose
Hypercalcemia
	Hypercalcemia
Delirium tremens
	Delirium tremens
Infective endocarditis
	Infective endocarditis
