Right heart failure
	Chronic obstructive pulmonary disease
	PHT - Pulmonary hypertension
	Right heart failure
	Interstitial pulmonary disease
	Congestive heart failure
	Primary pulmonary hypertension
	Right heart failure due to pulmonary disease
	pulmonary hypertension
	Pulmonary hypertension
	Right heart failure due to pulmonary hypertension
	Heart failure
Cor pulmonale
	Cor pulmonale
Pulmonary fibrosis
	Pulmonary fibrosis
Dilated cardiomyopathy
	Dilated cardiomyopathy
Coronary artery disease
	Coronary artery disease
TR - Tricuspid regurgitation
	TR - Tricuspid regurgitation
