Right heart failure due to pulmonary hypertension
	PHT - Pulmonary hypertension
	Right heart failure
	Primary pulmonary hypertension
	Right heart failure due to pulmonary disease
	pulmonary hypertension
	Pulmonary hypertension
	Right heart failure due to pulmonary hypertension
	Heart failure
Congestive heart failure
	Congestive heart failure
Chronic obstructive pulmonary disease
	Chronic obstructive pulmonary disease
Interstitial pulmonary disease
	Interstitial pulmonary disease
Cor pulmonale
	Cor pulmonale
Pulmonary fibrosis
	Pulmonary fibrosis
Dilated cardiomyopathy
	Dilated cardiomyopathy
Coronary artery disease
	Coronary artery disease
TR - Tricuspid regurgitation
	TR - Tricuspid regurgitation
