Benign neoplasm of pituitary gland
	Nonsecretory pituitary tumor
	Benign neoplasm of pituitary gland
	Acromegaly and pituitary gigantism
	Pituitary adenoma with extrasellar extension
	Acromegaly
	Pituitary macroadenoma
	Arthropathy associated with acromegaly
Histoplasma duboisii with retinitis
	Histoplasma duboisii with retinitis
	Punctate outer retinitis in acute Epstein-Barr virus infection
Optic neuritis
	Optic neuritis
BT - Brain tumour
	BT - Brain tumour
Gigantism due to somatostatin deficiency
	Gigantism due to somatostatin deficiency
Glaucoma
	Glaucoma
Ischemic optic neuropathy
	Ischemic optic neuropathy
Multiple sclerosis
	Multiple sclerosis
Retinitis pigmentosa
	Retinitis pigmentosa
Vasculitis due to lupus erythematosus
	Vasculitis due to lupus erythematosus
TIA - Transient ischaemic attack
	TIA - Transient ischaemic attack
Vitamin B12 Deficiency Neuropathy
	Vitamin B12 Deficiency Neuropathy
Central retinal vein occlusion
	Central retinal vein occlusion
Migraine
	Migraine
Embolic stroke
	Embolic stroke
Syndrome of inappropriate ADH production
	Syndrome of inappropriate ADH production
