Embolism and thrombosis of renal vein
	Embolism and thrombosis of renal vein
	Portal vein thrombosis
Acute pancreatitis
	Acute pancreatitis
	pancreatitis
Choledocholithiasis
	Cholelithiasis
	cholecystitis
	Choledocholithiasis
	Cholecystitis
Occlusive mesenteric ischaemia
	Thrombotic mesenteric infarction
	NOMI - Non-occlusive mesenteric ischemia
	Embolic mesenteric infarction
	Occlusive mesenteric ischaemia
Ascites
	Ascites
Pancreatic cancer
	Pancreatic cancer
SBO - Small bowel obstruction
	SBO - Small bowel obstruction
Acute appendicitis
	Acute appendicitis
SBP - Spontaneous bacterial peritonitis
	SBP - Spontaneous bacterial peritonitis
Pulmonary embolism
	Pulmonary embolism
Gastric outflow obstruction
	Gastric outflow obstruction
Shock liver
	Shock liver
Intraabdominal bleed
	Intraabdominal bleed
Abdominal hematoma
	Abdominal hematoma
Sbo
	Sbo
Budd-Chiari syndrome
	Budd-Chiari syndrome
Drug induced liver injury
	Drug induced liver injury
Gastrointestinal hemorrhage
	Gastrointestinal hemorrhage
