Human immunodeficiency virus (HIV) disease resulting in cytomegaloviral disease
	CNS Toxoplasmosis
	Human immunodeficiency virus disease
	Encephalitis
	Viral meningitis
	Cryptococcosis
	Infection by Pneumocystis jirovecii
	Meningococcal meningitis
	Human immunodeficiency virus (HIV) disease resulting in cytomegaloviral disease
	CMV Encephalitis
	Cryptococcal meningitis
	Cryptococcosis associated with AIDS
	Toxoplasmosis
	Tuberculous meningitis
Posterior reversible encephalopathy syndrome
	PML - Progressive multifocal leukoencephalopathy
	Posterior reversible encephalopathy syndrome
	Epilepsy and recurrent seizures
	Seizure with provoking factor
	Psychogenic Nonepileptic Seizures
	PML - Progressive multifocal leucoencephalopathy
	Progressive multifocal leukoencephalopathy
Immune reconstitution syndrome
	Immune reconstitution syndrome
	Immune reconstitution inflammatory syndrome [IRIS]
Subdural intracranial hematoma
	Epidural intracranial hemorrhage
	Nontraumatic subdural hemorrhage
	Subdural intracranial hematoma
	Nontraumatic subarachnoid hemorrhage
Epilepsy undetermined whether focal or generalised
	Epilepsy undetermined whether focal or generalised
	Drug overdose of undetermined intent
Primary cerebral lymphoma
	Primary cerebral lymphoma
	Primary CNS lymphoma
Acute drug intoxication
	Acute drug intoxication
	Alcohol withdrawal-induced seizure
BT - Brain tumour
	Brain tumour
	BT - Brain tumour
Burkitt lymphoma
	Burkitt lymphoma
	Lymphoma
Adverse medication interaction with alcohol
	Adverse medication interaction with alcohol
Intentional citalopram poisoning
	Intentional citalopram poisoning
Cerebral venous sinus thrombosis
	Cerebral venous sinus thrombosis
Cerebral infarction
	Cerebral infarction
TIA - Transient ischaemic attack
	TIA - Transient ischaemic attack
Intracerebral haemorrhage (ICH)
	Intracerebral haemorrhage (ICH)
Aspergillosis
	Aspergillosis
Hypoglycemia
	Hypoglycemia
Creutzfeldt-Jakob disease
	Creutzfeldt-Jakob disease
